,SalePrice
0,121368.3219431495
1,157940.45181009383
2,183101.68105593201
3,194039.3738749889
4,193367.00603765395
5,173122.70670331636
6,177790.53548463716
7,164981.63613925644
8,178190.0568679931
9,124433.05286410963
10,199077.18172477247
11,95293.99760619419
12,94929.27276434432
13,152116.4133178834
14,123018.04154979627
15,386150.5740802502
16,251881.80580670317
17,279057.35193040303
18,275055.73299654195
19,464451.6782227759
20,324707.37888357206
21,203753.09478754486
22,171690.11610319983
23,167773.06566174273
24,178548.82736288686
25,195644.93227400054
26,341898.65666186705
27,232974.7811982712
28,203428.99826825265
29,231154.25957980793
30,191133.1063033379
31,89312.85323225654
32,181156.76631737247
33,295410.06372180505
34,283357.14725269144
35,241220.70997296734
36,181246.9944997993
37,167719.4979497049
38,163352.67497342284
39,155012.10036941816
40,176276.41447396378
41,149441.34850086254
42,295976.1334849772
43,241799.1797534185
44,226759.39878250274
45,184420.67251340326
46,248152.46879389335
47,203634.8737950683
48,161106.86329061358
49,146243.50142069213
50,147843.6110298737
51,171222.82901723674
52,142105.68938324333
53,162430.02888276582
54,199944.6205392395
55,148942.9127901339
56,161227.4994551289
57,132312.56896082475
58,220205.81981774943
59,132669.2961973588
60,134679.81819836554
61,171242.24845404207
62,114843.75085381704
63,124101.28415082577
64,126967.81394296743
65,115271.11194440909
66,103993.30751408875
67,133948.8606313541
68,149844.22073456712
69,177664.69233852555
70,109570.61938684504
71,98686.6431068006
72,141127.0608894408
73,124768.04150845454
74,154581.60530343922
75,109002.52915738172
76,62816.900450758854
77,156073.368618122
78,198804.10277531363
79,94052.94481219456
80,142279.73690527183
81,138355.35584625782
82,201371.05732745343
83,79194.53529849916
84,106124.58702116882
85,131367.25519156852
86,136522.09882361893
87,136790.0427157519
88,112491.48234516126
89,139779.4630393975
90,110966.52007281927
91,132569.45209617174
92,153743.60533209826
93,111536.44520078466
94,165561.17475598064
95,82132.33320938877
96,105186.52581788483
97,96539.23121110766
98,80011.17251440475
99,135631.64508635728
100,134175.49812226841
101,130700.98086766727
102,120803.4007979792
103,161607.82152196977
104,144994.38703362833
105,236262.37709533112
106,71719.72094335489
107,237183.31765240367
108,138421.7159258263
109,139161.84913564325
110,120214.6128297413
111,147504.7520163898
112,237272.5375405117
113,110897.92313799876
114,212428.15921598586
115,240879.89547636145
116,191108.35365688324
117,147739.04855513969
118,142970.4109511331
119,191530.23985065168
120,149284.1880455318
121,127561.96746241025
122,325667.20550970867
123,222850.48485445709
124,141941.0681976077
125,71234.0381507996
126,97629.06854990975
127,149837.72493058525
128,96764.02986235988
129,138841.09781509015
130,96954.6515848698
131,119786.49436265428
132,126897.72473869528
133,136091.73140251116
134,111692.2106605697
135,236502.95292066422
136,186322.24830077332
137,209052.37168321043
138,171148.87898467292
139,173655.7761917966
140,63833.40292216924
141,111563.7363178765
142,87298.59961870905
143,266202.7423368086
144,236969.98116766533
145,169401.73340182612
146,173458.23403243718
147,213430.51784706692
148,191234.88125319078
149,147570.65538148946
150,134425.26423758818
151,165402.39000118105
152,161439.67295536166
153,126940.97393675029
154,89147.46052850851
155,73998.73531647137
156,93968.70674576756
157,127768.41114568179
158,144674.2453316852
159,160587.88295563898
160,134613.93217256767
161,143365.6536950788
162,264122.0320014698
163,196631.92713909232
164,120994.06735565954
165,159445.39554854308
166,188881.90196163362
167,274082.8428554281
168,178055.01981595543
169,372435.978216899
170,219439.89055445034
171,240482.8737539963
172,168634.87250512704
173,185858.92258149997
174,178957.5398346319
175,153580.99391421446
176,193155.17955051077
177,184783.796102272
178,181617.95965207854
179,257706.42054413824
180,178848.03895268854
181,229411.3288354249
182,222177.60992205085
183,229946.24853066303
184,201134.2699193948
185,158186.26665569452
186,154991.5955444371
187,132005.98868914778
188,138478.57508193192
189,112847.39317189969
190,122875.61921182595
191,97402.53921978695
192,97853.72495494556
193,148311.71273488333
194,146257.40621108343
195,145229.7236832367
196,149427.05640029963
197,146589.30371958157
198,129514.09150118084
199,154959.19380407315
200,452853.27872704726
201,403623.05695823167
202,380338.41130630637
203,444474.98092671845
204,308034.61527272494
205,317824.5046483095
206,359308.9818018853
207,338603.5415805483
208,296496.8317813595
209,351846.33798672585
210,255935.42624400568
211,441597.8024406757
212,299200.31598645163
213,243019.85735231586
214,189683.27864536212
215,187394.88748076998
216,215737.03060359394
217,435276.8902556485
218,388755.2821859602
219,345655.0490721741
220,253298.09441403562
221,293557.21110327984
222,179942.0194119407
223,174571.42289537346
224,172668.1783360404
225,170948.0580186699
226,165886.83908484806
227,190967.75128821091
228,194829.1042391081
229,194262.0692558218
230,180136.29380766983
231,268359.79059510224
232,166707.96330467903
233,181825.06845187666
234,166136.2678905878
235,272945.1137785682
236,172213.53960842194
237,365482.3952347392
238,338216.93610609474
239,241715.17636704526
240,256326.60793959553
241,246014.64256015638
242,249873.97350785436
243,282877.5675408703
244,228795.2969418795
245,382234.36079693626
