,Company,TypeName,Inches,Touchscreen,Ips,Cpu_Vender,Cpu_Type,Ram,Storage (GB),Storage Type,Gpu_Vender,Gpu_Type,Weight,OpSys,Price_euros
0,Apple,Ultrabook,13.3,0,1,Intel,Core i5,8,128,SSD,Intel,Iris Plus Graphics 640,1.37,Mac,1339.69
1,Apple,Ultrabook,13.3,0,0,Intel,Core i5,8,128,Flash Storage,Intel,HD Graphics 6000,1.34,Mac,898.94
2,HP,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,Intel,HD Graphics 620,1.86,Others/No OS/Linux,575.0
3,Apple,Ultrabook,15.4,0,1,Intel,Core i7,16,512,SSD,AMD,Radeon Pro 455,1.83,Mac,2537.45
4,Apple,Ultrabook,13.3,0,1,Intel,Core i5,8,256,SSD,Intel,Iris Plus Graphics 650,1.37,Mac,1803.6
5,Acer,Notebook,15.6,0,0,AMD,A9-Series 9420,4,500,HDD,AMD,Radeon R5,2.1,Windows,400.0
6,Apple,Ultrabook,15.4,0,1,Intel,Core i7,16,256,Flash Storage,Intel,Iris Pro Graphics,2.04,Mac,2139.97
7,Apple,Ultrabook,13.3,0,0,Intel,Core i5,8,256,Flash Storage,Intel,HD Graphics 6000,1.34,Mac,1158.7
8,Asus,Ultrabook,14.0,0,0,Intel,Core i7,16,512,SSD,Nvidia,GeForce MX150,1.3,Windows,1495.0
9,Acer,Ultrabook,14.0,0,1,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.6,Windows,770.0
10,HP,Notebook,15.6,0,0,Intel,Core i5,4,500,HDD,Intel,HD Graphics 620,1.86,Others/No OS/Linux,393.9
11,HP,Notebook,15.6,0,0,Intel,Core i3,4,500,HDD,Intel,HD Graphics 520,1.86,Others/No OS/Linux,344.99
12,Apple,Ultrabook,15.4,0,1,Intel,Core i7,16,256,SSD,AMD,Radeon Pro 555,1.83,Mac,2439.97
13,Dell,Notebook,15.6,0,0,Intel,Core i3,4,256,SSD,AMD,Radeon R5 M430,2.2,Windows,498.9
14,Apple,Ultrabook,12.0,0,1,Intel,Core M,8,256,SSD,Intel,HD Graphics 615,0.92,Mac,1262.4
15,Apple,Ultrabook,13.3,0,1,Intel,Core i5,8,256,SSD,Intel,Iris Plus Graphics 640,1.37,Mac,1518.55
16,Dell,Notebook,15.6,0,0,Intel,Core i7,8,256,SSD,AMD,Radeon R5 M430,2.2,Windows,745.0
17,Apple,Ultrabook,15.4,0,1,Intel,Core i7,16,512,SSD,AMD,Radeon Pro 560,1.83,Mac,2858.0
18,Lenovo,Notebook,15.6,0,0,Intel,Core i3,8,1024,HDD,Nvidia,GeForce 940MX,2.2,Others/No OS/Linux,499.0
19,Dell,Ultrabook,13.3,1,1,Intel,Core i5,8,128,SSD,Intel,UHD Graphics 620,1.22,Windows,979.0
20,Asus,Netbook,11.6,0,0,Intel,I n t e l,2,32,Flash Storage,Intel,HD Graphics 400,0.98,Windows,191.9
21,Lenovo,Gaming,15.6,0,1,Intel,Core i5,8,128,SSD +  1TB HDD,Nvidia,GeForce GTX 1050,2.5,Windows,999.0
22,HP,Notebook,15.6,0,0,AMD,E-Series E2-9000e,4,500,HDD,AMD,Radeon R2,1.86,Others/No OS/Linux,258.0
23,Dell,2 in 1 Convertible,13.3,1,0,Intel,Core i5,8,256,SSD,Intel,UHD Graphics 620,1.62,Windows,819.0
24,HP,Ultrabook,15.6,0,0,Intel,Core i7,8,256,SSD,Intel,HD Graphics 620,1.91,Windows,659.0
25,Dell,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Intel,HD Graphics 520,2.3,Windows,418.64
26,Apple,Ultrabook,13.3,0,0,Intel,Core i5,8,128,Flash Storage,Intel,HD Graphics 6000,1.35,Mac,1099.0
27,Dell,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,AMD,Radeon 530,2.2,Windows,800.0
28,Dell,Ultrabook,15.6,0,0,Intel,Core i7,8,256,SSD +  256GB SSD,Intel,UHD Graphics 620,1.88,Windows,1298.0
29,HP,Notebook,17.3,0,0,Intel,Core i5,8,1024,HDD,Nvidia,GeForce 930MX,2.5,Windows,896.0
30,Chuwi,Notebook,15.6,0,0,Intel,I n t e l,4,64,Flash Storage,Intel,HD Graphics,1.89,Windows,244.99
31,Asus,Notebook,14.0,0,0,AMD,E-Series E2-6110,2,32,Flash Storage,AMD,Radeon R2,1.65,Windows,199.0
32,HP,Notebook,17.3,0,0,AMD,A6-Series 9220,4,500,HDD,AMD,Radeon 530,2.71,Windows,439.0
33,Dell,Ultrabook,13.3,1,0,Intel,Core i7,16,512,SSD,Intel,UHD Graphics 620,1.2,Windows,1869.0
34,Apple,Ultrabook,13.3,0,0,Intel,Core i5,8,256,Flash Storage,Intel,HD Graphics 6000,1.35,Mac,998.0
35,Lenovo,Notebook,14.0,0,0,Intel,Celeron Dual Core,4,64,Flash Storage,Intel,HD Graphics 500,1.44,Windows,249.0
36,Acer,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Intel,HD Graphics 620,2.1,Others/No OS/Linux,367.0
37,Dell,Notebook,17.3,0,1,Intel,Core i5,8,128,SSD +  1TB HDD,AMD,Radeon 530,2.8,Windows,979.0
38,HP,Notebook,15.6,0,0,Intel,Core i5,4,1024,HDD,Intel,HD Graphics 620,1.86,Windows,488.69
39,HP,Notebook,15.6,0,0,Intel,Core i5,8,256,SSD,Nvidia,GeForce 930MX ,2.1,Windows,879.0
40,Asus,Notebook,15.6,0,0,Intel,Core i3,4,1024,HDD,Intel,HD Graphics 620,2.0,Others/No OS/Linux,389.0
41,Dell,Gaming,15.6,0,1,Intel,Core i7,16,256,SSD +  1TB HDD,Nvidia,GeForce GTX 1060,2.65,Windows,1499.0
42,Asus,Notebook,15.6,0,0,Intel,Core i5,8,1024,HDD,Nvidia,GeForce 940MX,2.3,Others/No OS/Linux,522.99
43,Acer,Notebook,15.6,0,1,Intel,Core i5,4,256,SSD,Intel,UHD Graphics 620,2.2,Windows,682.0
