movie_title,United Arab Emirates,Israel,South Africa,Nigeria,Ghana,Kenya,East Africa,Lebanon,Egypt,Kuwait,Turkey,Other_Middle_East_and_African_Countries
Iron Man,1.84,0.61,1.46,0.05,,,0.09,0.1,0.27,0.84,1.66,1.37
The Incredible Hulk,1.81,0.49,0.93,0.03,,,0.08,0.1,0.28,0.66,1.02,0.7
Iron Man 2,2.25,0.68,2.59,0.06,0.01,,0.12,0.17,0.3,,1.84,6.57
Thor,2.07,0.75,2.01,0.14,0.03,,0.05,0.28,0.16,,2.09,5.29
Captain America: The First Avenger,1.33,0.72,1.04,0.06,0.02,,0.04,0.17,0.11,,1.08,3.84
The Avengers,6.69,2.45,4.61,0.2,0.02,,0.32,0.53,0.91,,4.26,11.73
Iron Man 3,5.73,2.15,3.19,,,,0.35,0.58,0.8,,4.51,8.84
Thor: The Dark World,3.45,1.15,2.07,0.16,,,0.2,0.52,0.54,,3.69,7.84
Captain America: The Winter Soldier,3.93,1.22,1.41,0.07,,,0.16,0.31,0.42,,2.36,6.7
Guardians of the Galaxy,2.34,1.9,1.48,0.12,,0.15,0.15,0.18,0.38,,1.92,9.94
Avengers: Age of Ultron,3.17,2.02,3.28,0.27,,0.32,,0.54,1.22,,5.86,8.01
Ant-Man,2.89,1.34,0.75,0.1,0.36,0.12,,0.34,,,,2.77
Captain America: Civil War,5.96,,2.13,,,,,,,,5.05,11.04
Doctor Strange,3.44,,1.16,,,,,,,,3.2,4.39
Guardians of the Galaxy Vol. 2,2.9,,1.55,,,,,,,,1.53,3.27
Spider-Man: Homecoming,5.02,2.6,2.31,0.28,0.05,0.26,,0.63,0.53,1.67,2.66,2.28
Thor: Ragnarok,4.59,,2.55,,,,,,,,2.98,4.73
Black Panther,6.99,,8,,,,,,,,2.59,7.34
Avengers: Infinity War,10.07,,5.55,,,,,,,,5.7,18.11
Ant-Man and the Wasp,3.23,,1.35,,,,,,,,1.11,3.3
Captain Marvel,5.77,,3.48,0.66,,,,,,,3.25,6.71
Avengers: Endgame,12.78,,7.17,1.36,,,,,1.75,,7.92,14.36
Spider-Man: Far From Home,6.44,3.15,2.33,0.44,0.06,0.24,,0.73,1.03,2.36,2.97,5.75
Black Widow,3.23,,0.17,,,,,,,,,2.71
Shang-Chi and the Legend of the Ten Rings,3.44,,0.8,,,,,,,,0.66,2.85
Eternals,2.54,,0.82,,,,,,,,0.66,2.28
Spider-Man: No Way Home,12.1,2.7,6.2,,,,,,1.3,1.2,5.33,36.72
