movie_title,USA_and_Canada,Mexico,Central America,Caribbean
Iron Man,319.03,15.95,1.37,1.37
The Incredible Hulk,134.81,12.65,0.7,0.7
Iron Man 2,312.43,18.4,6.57,6.57
Thor,181.03,19.55,5.29,5.29
Captain America: The First Avenger,176.65,20.22,3.84,3.84
The Avengers,623.36,61.75,11.73,11.73
Iron Man 3,409.01,48.57,8.84,8.84
Thor: The Dark World,206.36,23.86,7.84,7.84
Captain America: The Winter Soldier,259.77,25.72,6.7,6.7
Guardians of the Galaxy,333.72,19.65,9.94,9.94
Avengers: Age of Ultron,459.01,50.94,8.01,8.01
Ant-Man,180.2,15.1,2.77,2.77
Captain America: Civil War,408.08,41.42,11.04,11.04
Doctor Strange,232.64,13.59,4.39,4.39
Guardians of the Galaxy Vol. 2,389.81,19.01,3.27,3.27
Spider-Man: Homecoming,334.2,27.07,2.28,2.28
Thor: Ragnarok,315.06,21.25,4.73,4.73
Black Panther,700.43,28.32,7.34,7.34
Avengers: Infinity War,678.82,60.06,18.11,18.11
Ant-Man and the Wasp,216.65,14.96,3.3,3.3
Captain Marvel,426.83,33.31,6.71,6.71
Avengers: Endgame,858.37,77.59,14.36,14.36
Spider-Man: Far From Home,390.53,32.3,5.75,5.75
Black Widow,183.65,9.86,2.71,2.71
Shang-Chi and the Legend of the Ten Rings,224.54,7.67,2.85,2.85
Eternals,164.87,15.3,2.28,2.28
Spider-Man: No Way Home,804.62,75.85,36.72,36.72
