movie_title,Venezuela,Colombia,Bolivia,Uruguay,Peru,Paraguay,Chile,Ecuador,Argentina,Brazil,Other_South_American_Countries
Iron Man,1.89,1.73,0.15,0.07,1.52,,1.38,0.93,1.61,13.5,1.37
The Incredible Hulk,1.31,0.75,0.07,0.02,1.19,,0.34,0.38,0.94,4.89,0.7
Iron Man 2,1.9,1.28,0.31,0.1,1.86,,1.45,1.24,2.57,15.84,6.57
Thor,2.65,2.47,0.37,0.08,1.97,,1.25,1.28,2.4,12.09,5.29
Captain America: The First Avenger,1.08,2.78,0.37,0.09,2.39,,1.62,1.49,3.54,20.68,3.84
The Avengers,13.22,7.14,1.89,0.52,8.52,,9.25,5.41,17.33,63.9,11.73
Iron Man 3,12.44,5.87,1.44,0.51,5.79,,7.85,4.53,13.56,47.87,8.84
Thor: The Dark World,9.15,4.09,1.11,0.21,4.04,,3.33,2.79,5.65,27.75,7.84
Captain America: The Winter Soldier,10.08,3.05,0.8,0.21,3.05,,2.28,3.05,4.58,28.32,6.7
Guardians of the Galaxy,6.02,2.38,0.8,0.21,3.46,,2.72,1.64,4.65,16.82,9.94
Avengers: Age of Ultron,18.53,9.96,2.28,0.46,7.03,,6.94,5.59,9.28,47.86,8.01
Ant-Man,6.78,1.87,0.59,0.09,2.88,,1.28,1.35,4.13,12.43,2.77
Captain America: Civil War,1.95,7.07,,,,,6.78,,8.31,40.8,11.04
Doctor Strange,1.68,3.13,0.69,0.17,2.46,0.17,2.55,,3.46,22.75,4.39
Guardians of the Galaxy Vol. 2,2.48,3.49,1.1,0.22,,0.22,3.15,,4.82,20.93,3.27
Spider-Man: Homecoming,2.53,4.59,1.41,0.4,5.21,0.31,4.36,2.69,7.03,31.9,2.28
Thor: Ragnarok,2.99,5.47,1.42,0.38,,0.36,3.74,,6.17,30.49,4.73
Black Panther,1.02,6.8,1.31,0.29,,0.38,4.94,,3.06,36.94,7.34
Avengers: Infinity War,6.09,13.27,3.17,0.82,,1.11,14.61,,8.06,66.68,18.11
Ant-Man and the Wasp,3.43,2.9,0.72,0.13,,0.17,2.46,,2.25,13.01,3.3
Captain Marvel,0.37,8.41,1.57,0.48,,0.55,7.24,,5.42,38.15,6.71
Avengers: Endgame,1,17.69,3.62,1.37,,1.56,18.86,,17.73,85.67,14.36
Spider-Man: Far From Home,0.57,5.18,1.26,0.6,5.37,0.36,5.58,3.12,4.12,20.41,5.75
Black Widow,0.11,1.93,,,,,0.32,,1.76,6.62,2.71
Shang-Chi and the Legend of the Ten Rings,0.15,2.38,,,,,1.79,,1.51,7.49,2.85
Eternals,0.08,3.38,,,,,2.49,,2.76,12.81,2.28
Spider-Man: No Way Home,,12.11,1.5,,4.4,,,7.9,19.1,55.4,36.72
