location,date,vaccine,total_vaccinations,people_vaccinated,people_fully_vaccinated,source_url,total_boosters
India,2021-01-15,"Covaxin, Oxford/AstraZeneca",0,0,0,https://twitter.com/MoHFW_INDIA/status/1350459098203004927,
India,2021-01-16,"Covaxin, Oxford/AstraZeneca",191181,191181,0,https://twitter.com/MoHFW_INDIA/status/1350459098203004928,
India,2021-01-17,"Covaxin, Oxford/AstraZeneca",224301,224301,0,https://twitter.com/MoHFW_INDIA/status/1350815129177260034,
India,2021-01-18,"Covaxin, Oxford/AstraZeneca",454049,454049,0,https://www.mohfw.gov.in/,
India,2021-01-19,"Covaxin, Oxford/AstraZeneca",674835,674835,0,https://www.mohfw.gov.in/,
India,2021-01-20,"Covaxin, Oxford/AstraZeneca",806484,806484,0,https://www.mohfw.gov.in/,
India,2021-01-21,"Covaxin, Oxford/AstraZeneca",1043534,1043534,0,https://www.mohfw.gov.in/,
India,2021-01-22,"Covaxin, Oxford/AstraZeneca",1390592,1390592,0,https://www.mohfw.gov.in/,
India,2021-01-23,"Covaxin, Oxford/AstraZeneca",1582201,1582201,0,https://www.mohfw.gov.in/,
India,2021-01-24,"Covaxin, Oxford/AstraZeneca",1615504,1615504,0,https://www.mohfw.gov.in/,
India,2021-01-25,"Covaxin, Oxford/AstraZeneca",2023809,2023809,0,https://www.mohfw.gov.in/,
India,2021-01-26,"Covaxin, Oxford/AstraZeneca",2029480,2029480,0,https://www.mohfw.gov.in/,
India,2021-01-27,"Covaxin, Oxford/AstraZeneca",2355979,2355979,0,https://www.mohfw.gov.in/,
India,2021-01-28,"Covaxin, Oxford/AstraZeneca",2928053,2928053,0,https://www.mohfw.gov.in/,
India,2021-01-29,"Covaxin, Oxford/AstraZeneca",3500027,3500027,0,https://www.mohfw.gov.in/,
India,2021-01-30,"Covaxin, Oxford/AstraZeneca",3744334,3744334,0,https://www.mohfw.gov.in/,
India,2021-01-31,"Covaxin, Oxford/AstraZeneca",3758843,3758843,0,https://www.mohfw.gov.in/,
India,2021-02-01,"Covaxin, Oxford/AstraZeneca",3950156,3950156,0,https://www.mohfw.gov.in/,
India,2021-02-02,"Covaxin, Oxford/AstraZeneca",4138918,4138918,0,https://www.mohfw.gov.in/,
India,2021-02-03,"Covaxin, Oxford/AstraZeneca",4449552,4449552,0,https://www.mohfw.gov.in/,
India,2021-02-04,"Covaxin, Oxford/AstraZeneca",4959445,4959445,0,https://www.mohfw.gov.in/,
India,2021-02-05,"Covaxin, Oxford/AstraZeneca",5416849,5416849,0,https://www.mohfw.gov.in/,
India,2021-02-06,"Covaxin, Oxford/AstraZeneca",5775322,5775322,0,https://www.mohfw.gov.in/,
India,2021-02-07,"Covaxin, Oxford/AstraZeneca",5812362,5812362,0,https://www.mohfw.gov.in/,
India,2021-02-08,"Covaxin, Oxford/AstraZeneca",6259008,6259008,0,https://www.mohfw.gov.in/,
India,2021-02-09,"Covaxin, Oxford/AstraZeneca",6611561,6611561,0,https://www.mohfw.gov.in/,
India,2021-02-10,"Covaxin, Oxford/AstraZeneca",7017114,7017114,0,https://www.mohfw.gov.in/,
India,2021-02-11,"Covaxin, Oxford/AstraZeneca",7505010,7505010,0,https://www.mohfw.gov.in/,
