date,location,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million
2021-02-22,Afghanistan,0.0,0.0,,,,,0.0,0.0,,,
2021-02-28,Afghanistan,8200.0,8200.0,,,,1367.0,0.02,0.02,,,34.0
2021-03-16,Afghanistan,54000.0,54000.0,,,,2862.0,0.14,0.14,,,72.0
2021-04-07,Afghanistan,120000.0,120000.0,,,,3000.0,0.3,0.3,,,75.0
2021-04-22,Afghanistan,240000.0,240000.0,,,,8000.0,0.6,0.6,,,201.0
2021-05-11,Afghanistan,504502.0,448878.0,55624.0,,,13921.0,1.27,1.13,0.14,,349.0
2021-05-20,Afghanistan,547901.0,470341.0,77560.0,,,4822.0,1.38,1.18,0.19,,121.0
2021-05-24,Afghanistan,573277.0,476367.0,96910.0,,,5692.0,1.44,1.2,0.24,,143.0
2021-05-26,Afghanistan,590454.0,479372.0,111082.0,,,6768.0,1.48,1.2,0.28,,170.0
2021-05-27,Afghanistan,593313.0,479574.0,113739.0,,2859.0,6487.0,1.49,1.2,0.29,,163.0
2021-05-30,Afghanistan,600152.0,480226.0,119926.0,,,4746.0,1.51,1.21,0.3,,119.0
2021-06-02,Afghanistan,626290.0,481690.0,144600.0,,,5119.0,1.57,1.21,0.36,,129.0
2021-06-03,Afghanistan,630305.0,481800.0,148505.0,,4015.0,5285.0,1.58,1.21,0.37,,133.0
2021-06-08,Afghanistan,641295.0,482952.0,158343.0,,,3388.0,1.61,1.21,0.4,,85.0
2021-06-14,Afghanistan,662003.0,484737.0,177266.0,,,3272.0,1.66,1.22,0.44,,82.0
2021-06-22,Afghanistan,765890.0,582128.0,183762.0,,,12986.0,1.92,1.46,0.46,,326.0
2021-06-27,Afghanistan,835694.0,649434.0,186260.0,,,13682.0,2.1,1.63,0.47,,343.0
2021-06-30,Afghanistan,886854.0,699200.0,187654.0,,,15286.0,2.23,1.76,0.47,,384.0
2021-07-05,Afghanistan,915671.0,726349.0,189322.0,,,8989.0,2.3,1.82,0.48,,226.0
2021-07-07,Afghanistan,934463.0,735213.0,199250.0,,,6801.0,2.35,1.85,0.5,,171.0
2021-07-11,Afghanistan,962093.0,742934.0,219159.0,,,7455.0,2.42,1.87,0.55,,187.0
2021-07-14,Afghanistan,1024168.0,,,,,12815.0,2.57,,,,322.0
2021-07-18,Afghanistan,1094257.0,,,,,18881.0,2.75,,,,474.0
2021-07-24,Afghanistan,1171064.0,,,,,13476.0,2.94,,,,338.0
2021-08-20,Afghanistan,1201286.0,770542.0,430744.0,,,1119.0,3.02,1.93,1.08,,28.0
2021-08-31,Afghanistan,1979652.0,773002.0,,,,70761.0,4.97,1.94,,,1776.0
2021-09-16,Afghanistan,3133227.0,,,,,72098.0,7.87,,,,1810.0
2021-01-09,Africa,0.0,0.0,,,,,0.0,0.0,,,
2021-01-13,Africa,2000.0,2000.0,,,,500.0,0.0,0.0,,,0.0
2021-01-15,Africa,4000.0,4000.0,,,,667.0,0.0,0.0,,,0.0
2021-01-16,Africa,7000.0,7000.0,,,3000.0,1000.0,0.0,0.0,,,1.0
2021-01-19,Africa,10976.0,10976.0,,,,1354.0,0.0,0.0,,,1.0
2021-01-20,Africa,13163.0,13163.0,,,2187.0,1595.0,0.0,0.0,,,1.0
2021-01-22,Africa,16890.0,16890.0,,,,1841.0,0.0,0.0,,,1.0
2021-01-23,Africa,18353.0,18353.0,,,1463.0,1622.0,0.0,0.0,,,1.0
2021-01-24,Africa,18353.0,18353.0,,,0.0,1433.0,0.0,0.0,,,1.0
2021-01-25,Africa,19889.0,19889.0,,,1536.0,1463.0,0.0,0.0,,,1.0
2021-01-26,Africa,22712.0,22712.0,,,2823.0,1677.0,0.0,0.0,,,1.0
2021-01-27,Africa,25587.0,25587.0,,,2875.0,1775.0,0.0,0.0,,,1.0
2021-01-28,Africa,28779.0,28779.0,,,3192.0,1965.0,0.0,0.0,,,1.0
2021-01-29,Africa,30861.0,30861.0,,,2082.0,1996.0,0.0,0.0,,,1.0
2021-01-30,Africa,122206.0,32206.0,,,91345.0,14836.0,0.01,0.0,,,11.0
2021-01-31,Africa,158206.0,32206.0,,,36000.0,19979.0,0.01,0.0,,,15.0
2021-02-01,Africa,236712.0,36631.0,,,78506.0,30975.0,0.02,0.0,,,23.0
2021-02-02,Africa,295127.0,37836.0,,,58415.0,38916.0,0.02,0.0,,,28.0
2021-02-03,Africa,347149.0,38746.0,5.0,,52022.0,45937.0,0.03,0.0,0.0,,33.0
2021-02-04,Africa,390474.0,38746.0,5.0,,43325.0,51671.0,0.03,0.0,0.0,,38.0
2021-02-05,Africa,446986.0,38746.0,5.0,,56512.0,59446.0,0.03,0.0,0.0,,43.0
2021-02-06,Africa,504800.0,39248.0,1586.0,,57814.0,54656.0,0.04,0.0,0.0,,40.0
2021-02-08,Africa,593502.0,39373.0,3980.0,,,50970.0,0.04,0.0,0.0,,37.0
2021-02-09,Africa,661263.0,39382.0,6700.0,,67761.0,52305.0,0.05,0.0,0.0,,38.0
2021-02-10,Africa,795836.0,39385.0,10335.0,,134573.0,64098.0,0.06,0.0,0.0,,47.0
2021-02-11,Africa,908796.0,39611.0,13867.0,,112960.0,74046.0,0.07,0.0,0.0,,54.0
2021-02-12,Africa,1165581.0,39611.0,13867.0,,256785.0,102656.0,0.08,0.0,0.0,,75.0
2021-02-13,Africa,1446178.0,43458.0,14181.0,,280597.0,134483.0,0.11,0.0,0.0,,98.0
2021-02-15,Africa,1766999.0,43467.0,16441.0,,,167642.0,0.13,0.0,0.0,,122.0
2021-02-16,Africa,1965819.0,43474.0,18176.0,,198820.0,186365.0,0.14,0.0,0.0,,136.0
2021-02-17,Africa,2147659.0,47134.0,19512.0,,181840.0,193118.0,0.16,0.0,0.0,,141.0
2021-02-18,Africa,2304003.0,50215.0,22925.0,,156344.0,199315.0,0.17,0.0,0.0,,145.0
2021-02-19,Africa,2514038.0,2487572.0,32990.0,,210035.0,192637.0,0.18,0.18,0.0,,140.0
2021-02-20,Africa,2616970.0,2581895.0,45489.0,,102932.0,167256.0,0.19,0.19,0.0,,122.0
2021-02-21,Africa,2623735.0,2588660.0,50463.0,,6765.0,145307.0,0.19,0.19,0.0,,106.0
2021-02-22,Africa,2745898.0,2700632.0,68325.0,,122163.0,139843.0,0.2,0.2,0.0,,102.0
2021-02-23,Africa,2854362.0,2799750.0,86927.0,,108464.0,126935.0,0.21,0.2,0.01,,92.0
2021-02-24,Africa,3151789.0,3091099.0,102499.0,,297427.0,143447.0,0.23,0.23,0.01,,104.0
2021-02-25,Africa,3435126.0,3367981.0,119792.0,,283337.0,161589.0,0.25,0.25,0.01,,118.0
2021-02-26,Africa,3677781.0,3557825.0,183604.0,,242655.0,166249.0,0.27,0.26,0.01,,121.0
2021-02-27,Africa,3866524.0,3681069.0,252758.0,,188743.0,178508.0,0.28,0.27,0.02,,130.0
2021-02-28,Africa,3874251.0,3688796.0,255982.0,,7727.0,178645.0,0.28,0.27,0.02,,130.0
2021-03-01,Africa,4092105.0,3834895.0,330257.0,,217854.0,192315.0,0.3,0.28,0.02,,140.0
2021-03-02,Africa,4253030.0,3934943.0,394124.0,,160925.0,199810.0,0.31,0.29,0.03,,145.0
2021-03-03,Africa,4424425.0,4039134.0,468861.0,,171395.0,181805.0,0.32,0.29,0.03,,132.0
2021-03-04,Africa,4570416.0,4132764.0,529681.0,,145991.0,162184.0,0.33,0.3,0.04,,118.0
